LTER_Site,Station,Date,Daily_AirTemp_Mean_C,Flag_Daily_AirTemp_Mean_C,Daily_AirTemp_AbsMax_C,Flag_Daily_AirTemp_AbsMax_C,Daily_AirTemp_AbsMin_C,Flag_Daily_AirTemp_AbsMin_C,Daily_Precip_Total_mm,Flag_Daily_Precip_Total_mm
FCE,FlamingoRS,19510101,14,,24,,3,,0.00,
FCE,FlamingoRS,19510102,19,,23,,16,,0.00,
FCE,FlamingoRS,19510103,20,,25,,15,,0.00,
FCE,FlamingoRS,19510104,21,,26,,17,,0.00,
FCE,FlamingoRS,19510105,22,,26,,18,,0.00,
FCE,FlamingoRS,19510106,18,,27,,9,,0.00,
FCE,FlamingoRS,19510107,22,,29,,14,,-9999.00,M
FCE,FlamingoRS,19510108,17,,23,,11,,-9999.00,M
FCE,FlamingoRS,19510109,9,,16,,3,,0.00,
FCE,FlamingoRS,19510110,15,,22,,7,,0.00,
FCE,FlamingoRS,19510111,15,,23,,7,,0.00,
FCE,FlamingoRS,19510112,16,,23,,8,,0.00,
FCE,FlamingoRS,19510113,17,,24,,9,,0.00,
FCE,FlamingoRS,19510114,18,,24,,12,,0.00,
FCE,FlamingoRS,19510115,22,,26,,18,,0.00,
FCE,FlamingoRS,19510116,18,,25,,12,,0.00,
FCE,FlamingoRS,19510117,13,,21,,4,,0.00,
FCE,FlamingoRS,19510118,17,,23,,11,,0.00,
FCE,FlamingoRS,19510119,17,,23,,11,,0.00,
FCE,FlamingoRS,19510120,19,,26,,13,,0.00,
FCE,FlamingoRS,19510121,21,,27,,16,,1.00,
FCE,FlamingoRS,19510122,20,,26,,14,,16.50,
FCE,FlamingoRS,19510123,23,,26,,19,,0.30,
FCE,FlamingoRS,19510124,19,,26,,12,,0.00,
FCE,FlamingoRS,19510125,17,,24,,10,,0.00,
FCE,FlamingoRS,19510126,12,,18,,6,,0.00,
FCE,FlamingoRS,19510127,13,,22,,4,,0.00,
FCE,FlamingoRS,19510128,17,,24,,10,,0.00,
FCE,FlamingoRS,19510129,18,,24,,12,,0.00,
FCE,FlamingoRS,19510130,21,,26,,16,,0.00,
FCE,FlamingoRS,19510131,20,,26,,14,,0.00,
FCE,FlamingoRS,19510201,22,,27,,18,,6.90,
FCE,FlamingoRS,19510202,20,,27,,13,,0.00,
FCE,FlamingoRS,19510203,11,,17,,4,,41.10,
FCE,FlamingoRS,19510204,12,,17,,6,,0.00,
FCE,FlamingoRS,19510205,15,,19,,12,,0.00,
FCE,FlamingoRS,19510206,19,,24,,15,,0.00,
FCE,FlamingoRS,19510207,22,,25,,18,,0.00,
FCE,FlamingoRS,19510208,14,,19,,8,,0.00,
FCE,FlamingoRS,19510209,16,,23,,8,,0.00,
FCE,FlamingoRS,19510210,18,,24,,11,,0.00,
FCE,FlamingoRS,19510211,18,,24,,13,,0.00,
FCE,FlamingoRS,19510212,18,,24,,11,,0.00,
FCE,FlamingoRS,19510213,18,,24,,11,,0.00,
FCE,FlamingoRS,19510214,-9999,M,26,,-9999,M,0.00,
FCE,FlamingoRS,19510215,19,,26,,12,,0.00,
FCE,FlamingoRS,19510216,18,,26,,11,,0.00,
FCE,FlamingoRS,19510217,19,,25,,14,,0.00,
FCE,FlamingoRS,19510218,19,,25,,13,,0.00,
FCE,FlamingoRS,19510219,19,,25,,13,,0.00,
FCE,FlamingoRS,19510220,19,,24,,13,,0.00,
FCE,FlamingoRS,19510221,19,,25,,13,,0.00,
FCE,FlamingoRS,19510222,19,,26,,11,,0.00,
FCE,FlamingoRS,19510223,18,,24,,11,,0.00,
FCE,FlamingoRS,19510224,19,,25,,12,,0.00,
FCE,FlamingoRS,19510225,19,,25,,13,,0.00,
FCE,FlamingoRS,19510226,21,,24,,17,,0.00,
FCE,FlamingoRS,19510227,18,,25,,11,,0.00,
FCE,FlamingoRS,19510228,19,,25,,12,,0.00,
FCE,FlamingoRS,19510301,18,,25,,12,,0.00,
FCE,FlamingoRS,19510302,19,,26,,13,,0.00,
FCE,FlamingoRS,19510303,23,,27,,18,,0.00,
FCE,FlamingoRS,19510304,21,,26,,16,,0.00,
FCE,FlamingoRS,19510305,21,,26,,16,,0.00,
FCE,FlamingoRS,19510306,21,,27,,16,,0.00,
FCE,FlamingoRS,19510307,21,,27,,16,,0.00,
FCE,FlamingoRS,19510308,20,,27,,13,,0.00,
FCE,FlamingoRS,19510309,21,,27,,16,,0.00,
