LTER_Site,Station,Date,Daily_AirTemp_Mean_C,Flag_Daily_AirTemp_Mean_C,Daily_AirTemp_AbsMax_C,Flag_Daily_AirTemp_AbsMax_C,Daily_AirTemp_AbsMin_C,Flag_Daily_AirTemp_AbsMin_C,Daily_Precip_Total_mm,Flag_Daily_Precip_Total_mm
FCE,Tavernier,19360601,-9999,M,-9999,M,-9999,M,0.00,
FCE,Tavernier,19360602,-9999,M,-9999,M,-9999,M,0.00,
FCE,Tavernier,19360603,-9999,M,-9999,M,-9999,M,0.00,
FCE,Tavernier,19360604,-9999,M,-9999,M,-9999,M,0.00,
FCE,Tavernier,19360605,-9999,M,31,,-9999,M,10.20,
FCE,Tavernier,19360606,27,,30,,24,,0.00,
FCE,Tavernier,19360607,27,,29,,24,,0.00,
FCE,Tavernier,19360608,25,,29,,21,,0.00,
FCE,Tavernier,19360609,24,,29,,19,,0.00,
FCE,Tavernier,19360610,26,,28,,23,,0.00,
FCE,Tavernier,19360611,25,,27,,24,,8.90,
FCE,Tavernier,19360612,23,,-9999,M,23,,2.50,
FCE,Tavernier,19360613,23,,-9999,M,23,,33.00,
FCE,Tavernier,19360614,23,,-9999,M,23,,40.60,
FCE,Tavernier,19360615,23,,-9999,M,23,,31.80,
FCE,Tavernier,19360616,23,,-9999,M,23,,0.00,
FCE,Tavernier,19360617,24,,-9999,M,24,,0.00,
FCE,Tavernier,19360618,25,,-9999,M,25,,0.00,
FCE,Tavernier,19360619,26,,-9999,M,26,,0.00,
FCE,Tavernier,19360620,24,,-9999,M,24,,0.00,
FCE,Tavernier,19360621,22,,-9999,M,22,,20.30,
FCE,Tavernier,19360622,23,,-9999,M,23,,6.40,
FCE,Tavernier,19360623,25,,28,,23,,17.80,
FCE,Tavernier,19360624,26,,30,,22,,17.80,
FCE,Tavernier,19360625,26,,29,,23,,2.50,
FCE,Tavernier,19360626,26,,28,,24,,0.00,
FCE,Tavernier,19360627,26,,28,,23,,0.00,
FCE,Tavernier,19360628,26,,28,,24,,0.00,
FCE,Tavernier,19360629,26,,30,,23,,0.00,
FCE,Tavernier,19360630,28,,29,,26,,0.00,
FCE,Tavernier,19360701,28,,29,,26,,0.00,
FCE,Tavernier,19360702,27,,29,,24,,0.00,
FCE,Tavernier,19360703,26,,28,,24,,0.00,
FCE,Tavernier,19360704,27,,31,,24,,0.00,
FCE,Tavernier,19360705,26,,30,,22,,12.70,
FCE,Tavernier,19360706,26,,29,,23,,27.90,
FCE,Tavernier,19360707,28,,29,,26,,0.00,
FCE,Tavernier,19360708,28,,29,,26,,0.00,
FCE,Tavernier,19360709,26,,29,,23,,0.00,
FCE,Tavernier,19360710,27,,30,,24,,0.00,
FCE,Tavernier,19360711,27,,29,,24,,7.60,
FCE,Tavernier,19360712,24,,27,,22,,22.90,
FCE,Tavernier,19360713,25,,27,,23,,2.50,
FCE,Tavernier,19360714,26,,29,,23,,0.00,
FCE,Tavernier,19360715,27,,28,,26,,0.00,
FCE,Tavernier,19360716,27,,28,,25,,10.20,
FCE,Tavernier,19360717,28,,28,,27,,0.00,
FCE,Tavernier,19360718,28,,29,,26,,0.00,
FCE,Tavernier,19360719,28,,29,,26,,0.00,
FCE,Tavernier,19360720,29,,31,,26,,0.00,
FCE,Tavernier,19360721,27,,31,,24,,0.00,
FCE,Tavernier,19360722,27,,29,,25,,0.00,
FCE,Tavernier,19360723,28,,29,,27,,0.00,
FCE,Tavernier,19360724,28,,29,,27,,0.00,
FCE,Tavernier,19360725,25,,28,,22,,22.90,
FCE,Tavernier,19360726,27,,29,,26,,0.00,
FCE,Tavernier,19360727,-9999,M,-9999,M,-9999,M,0.00,
FCE,Tavernier,19360728,26,,29,,24,,22.90,
FCE,Tavernier,19360729,24,,26,,22,,45.70,
FCE,Tavernier,19360730,27,,31,,23,,5.10,
FCE,Tavernier,19360731,26,,29,,24,,2.50,
FCE,Tavernier,19360801,28,,28,,27,,0.00,
FCE,Tavernier,19360802,28,,31,,24,,0.00,
FCE,Tavernier,19360803,28,,30,,25,,2.50,
FCE,Tavernier,19360804,25,,26,,23,,2.50,
FCE,Tavernier,19360805,23,,25,,21,,116.80,
FCE,Tavernier,19360806,24,,28,,21,,22.90,
FCE,Tavernier,19360807,27,,28,,26,,0.00,
FCE,Tavernier,19360808,27,,29,,24,,0.00,
FCE,Tavernier,19360809,27,,28,,25,,0.00,
FCE,Tavernier,19360810,26,,28,,23,,0.00,
FCE,Tavernier,19360811,-9999,M,-9999,M,-9999,M,0.00,
FCE,Tavernier,19360812,-9999,M,-9999,M,-9999,M,45.70,
FCE,Tavernier,19360813,-9999,M,-9999,M,-9999,M,0.00,
FCE,Tavernier,19360814,-9999,M,-9999,M,-9999,M,0.00,
FCE,Tavernier,19360815,26,,29,,22,,7.60,
FCE,Tavernier,19360816,28,,29,,26,,0.00,
FCE,Tavernier,19360817,26,,29,,24,,12.70,
FCE,Tavernier,19360818,26,,29,,24,,0.00,
FCE,Tavernier,19360819,26,,28,,24,,0.00,
FCE,Tavernier,19360820,26,,28,,24,,7.60,
FCE,Tavernier,19360821,26,,28,,24,,22.90,
FCE,Tavernier,19360822,25,,28,,23,,38.10,
FCE,Tavernier,19360823,27,,28,,26,,0.00,
FCE,Tavernier,19360824,28,,28,,27,,0.00,
FCE,Tavernier,19360825,27,,28,,26,,0.00,
FCE,Tavernier,19360826,28,,29,,27,,0.00,
FCE,Tavernier,19360827,28,,29,,26,,0.00,
FCE,Tavernier,19360828,27,,29,,26,,2.50,
FCE,Tavernier,19360829,27,,29,,26,,0.00,
FCE,Tavernier,19360830,27,,28,,26,,0.00,
FCE,Tavernier,19360831,26,,29,,22,,0.00,
FCE,Tavernier,19360901,26,,29,,23,,0.00,
FCE,Tavernier,19360902,26,,29,,23,,0.00,
FCE,Tavernier,19360903,26,,29,,24,,0.00,
FCE,Tavernier,19360904,26,,29,,23,,15.20,
FCE,Tavernier,19360905,26,,28,,23,,2.50,
FCE,Tavernier,19360906,26,,29,,24,,10.20,
FCE,Tavernier,19360907,28,,29,,26,,0.00,
FCE,Tavernier,19360908,28,,28,,27,,0.00,
FCE,Tavernier,19360909,26,,28,,24,,0.00,
FCE,Tavernier,19360910,26,,29,,23,,0.00,
FCE,Tavernier,19360911,26,,30,,22,,0.00,
FCE,Tavernier,19360912,26,,28,,24,,5.10,
