year, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
2008,0,204.58333,204,1400,0.246,33.58,-9999,-9999,-1.114,-0.61,-9999,23.36,-6999,141.111,-6999,-9999,-9999,5,-9999,10,0,52.25,101.7,-9999,2.48,-9999,-6999,484.2,1197,566,-6999,-6999,19.9,-6999,-6999,24.031,-6999,2.461,-9999,2.9,-6999,-6999,-6999,-6999
2008,0,204.60417,204,1430,0.338,34.08,-9999,-9999,-0.905,-0.853,-0.052,24.223,-6999,293.09,-6999,-9999,-9999,5,-9999,10,0,51.36,101.7,378.185,2.6,-9999,-6999,680.8,1571,774,-6999,-6999,45,-6999,-6999,24.307,-6999,2.226,378.185,2.9,-6999,-6999,-6999,-6999
2008,0,204.625,204,1500,0.364,32.48,-9999,-9999,-1.109,-1.107,-0.001,33.055,-6999,277.953,-6999,-9999,-9999,5,-9999,10,0,60.87,101.7,377.365,1.91,90.569,-6999,416.8,1025,492.6,-6999,-6999,26.701,-6999,-6999,26.332,-6999,2.423,377.365,2.9,-6999,-6999,-6999,-6999
2008,0,204.64583,204,1530,0.354,32.29,-9999,-9999,-1.185,-1.165,-0.02,42.074,-6999,306.108,-6999,6.17,-9999,5,-9999,10,0,62.08,101.7,377.341,1.83,90.569,-6999,449.2,1111,536.4,-6999,-6999,30.3,-6999,-6999,26.566,-6999,2.515,377.341,2.9,-6999,-6999,-6999,-6999
2008,0,204.66667,204,1600,0.322,32.37,-9999,-9999,-0.342,-0.379,0.037,14.432,-6999,265.509,-6999,8.07,-9999,5,-9999,10,0,63.86,101.7,377.027,1.75,90.606,-6999,399.2,987,482.1,-6999,-6999,29.901,-6999,-6999,27.461,-6999,1.62,377.027,2.9,-6999,-6999,-6999,-6999
2008,0,204.6875,204,1630,0.28,31.91,-9999,-9999,0.035,0.023,0.013,-0.667,-6999,231.065,-6999,8.23,-9999,5,-9999,10,0,62.42,101.7,377.594,1.78,90.606,-6999,142.6,413.8,193.8,-6999,-6999,5.801,-6999,-6999,26.158,-6999,1.203,377.594,2.9,-6999,-6999,-6999,-6999
2008,0,204.70833,204,1700,0.309,31.53,-9999,-9999,0.308,0.307,0.001,0.854,-6999,211.656,-6999,8.25,-9999,5,-9999,10,0,62.29,101.7,377.781,1.75,90.606,-6999,43.86,227.8,99.7,-6999,-6999,-9999,-6999,-6999,25.559,-6999,0.902,377.781,2.9,-6999,-6999,-6999,-6999
2008,0,204.72917,204,1730,0.262,31.18,-9999,-9999,0.704,0.713,-0.009,3.137,-6999,167.732,-6999,8.31,-9999,5,-9999,10,0,64.44,101.7,377.787,1.61,90.606,-6999,7.02,129,55.3,-6999,-6999,-9999,-6999,-6999,25.944,-6999,0.47,377.787,2.9,-6999,-6999,-6999,-6999
2008,0,204.75,204,1800,0.216,30.69,-9999,-9999,0.784,0.747,0.037,15.193,-6999,60.185,-6999,8.42,-9999,5,-9999,10,0,68.21,101.801,377.646,1.4,90.643,-6999,-18.13,43,17.6,-6999,-6999,1.87,-6999,-6999,26.718,-6999,0.208,377.646,2.9,-6999,-6999,-6999,-6999
2008,0,204.77083,204,1830,0.138,28.52,-9999,-9999,0.897,0.871,0.026,5.501,-6999,55.061,-6999,8.57,-9999,5,-9999,10,0,80,101.801,378.213,0.78,90.643,-6999,-39.49,16.7,6.9,-6999,-6999,3.42,-6999,-6999,27.882,-6999,0.039,378.213,2.9,-6999,-6999,-6999,-6999
2008,0,204.79167,204,1900,0.175,27.49,-9999,-9999,0.991,0.939,0.053,4.509,-6999,48.311,-6999,8.7,-9999,5,-9999,10,0,85.65,101.601,378.604,0.53,90.643,-6999,-53.11,8.7,3.4,-6999,-6999,4.02,-6999,-6999,28.333,-6999,-9999,378.604,2.9,-6999,-6999,-6999,-6999
2008,0,204.8125,204,1930,0.151,27.54,-9999,-9999,-0.103,-0.081,-0.021,21.525,-6999,76.069,-6999,8.8,-9999,5,-9999,10,0,86.13,101.601,379.414,0.51,90.643,-6999,-57.97,1.9,0.6,-6999,-6999,4.28,-6999,-6999,28.57,-6999,-9999,379.414,2.9,-6999,-6999,-6999,-6999
2008,0,204.83333,204,2000,0.345,28.05,-9999,-9999,0.598,0.501,0.097,12.222,-6999,53.994,-6999,8.84,-9999,5,-9999,10,0,84.24,101.801,379.082,0.6,90.643,-6999,-53.32,0,0,-6999,-6999,3.67,-6999,-6999,28.645,-6999,-9999,379.082,2.9,-6999,-6999,-6999,-6999
2008,0,204.85417,204,2030,0.343,26.99,-9999,-9999,0.981,1.063,-0.082,3.477,-6999,54.546,-6999,8.84,-9999,5,-9999,10,0,85.21,101.801,380.56,0.53,90.643,-6999,-45.16,0,0,-6999,-6999,3.28,-6999,-6999,27.414,-6999,-9999,380.56,2.9,-6999,-6999,-6999,-6999
2008,0,204.875,204,2100,0.338,26.31,-9999,-9999,0.929,0.928,0.002,3.864,-6999,65.754,-6999,8.83,-9999,5,-9999,10,0,88.32,101.9,379.302,0.4,90.68,-6999,-50.09,0,0,-6999,-6999,3.16,-6999,-6999,27.406,-6999,-9999,379.302,2.9,-6999,-6999,-6999,-6999
2008,0,204.89583,204,2130,0.304,25.93,-9999,-9999,-0.107,-0.113,0.007,-1.616,-6999,72.289,-6999,8.77,-9999,5,-9999,10,0,88.71,101.9,379.323,0.38,90.68,-6999,-50.36,0,0,-6999,-6999,-9999,-6999,-6999,27.005,-6999,-9999,379.323,2.9,-6999,-6999,-6999,-6999
2008,0,204.91667,204,2200,0.238,25.49,-9999,-9999,1.202,-19.928,2.016,2.411,-6999,48.725,-6999,8.7,-9999,5,-9999,10,0,89.58,101.9,379.424,0.34,90.68,-6999,-48.86,0,0,-6999,-6999,-9999,-6999,-6999,26.668,-6999,-9999,379.424,2.9,-6999,-6999,-6999,-6999
2008,0,204.9375,204,2230,0.143,25.18,-9999,-9999,1.202,4.124,1.226,2.582,-6999,49.479,-6999,8.6,-9999,5,-9999,10,0,94.49,101.9,410.092,0.18,90.68,-6999,-44.51,0,0,-6999,-6999,-9999,-6999,-6999,27.695,-6999,-9999,410.092,2.9,-6999,-6999,-6999,-6999
2008,0,204.95833,204,2300,0.217,25.1,-9999,-9999,1.206,-6.56,-0.899,2.607,-6999,49.589,-6999,8.46,-9999,5,-9999,10,0.254,96.04,101.801,428.754,0.13,90.68,-6999,-43.87,0,0,-6999,-6999,-9999,-6999,-6999,28.066,-6999,-9999,428.754,2.9,-6999,-6999,-6999,-6999
2008,0,204.97917,204,2330,0.282,25.26,-9999,-9999,1.208,-6.101,-2.409,2.646,-6999,49.759,-6999,8.26,-9999,5,-9999,10,0,95.37,101.801,415.034,0.15,90.68,-6999,-42.89,0,0,-6999,-6999,-9999,-6999,-6999,28.095,-6999,-9999,415.034,2.9,-6999,-6999,-6999,-6999
2008,0,205,205,0,0.178,25.45,-9999,-9999,1.209,-9.712,0.767,2.646,-6999,49.759,-6999,8.02,-9999,5,-9999,10,0,93.56,101.7,378.251,0.21,90.68,-6999,-42.89,0,0,-6999,-6999,-9999,-6999,-6999,27.856,-6999,-9999,378.251,2.9,-6999,-6999,-6999,-6999
2008,0,205.02083,205,30,0.298,25.5,-9999,-9999,-1.298,-0.885,-0.412,7.659,-6999,-10.121,-6999,7.75,-9999,5,-9999,10,0,92.72,101.7,389.963,0.24,90.68,-6999,-43.91,0,0,-6999,-6999,-9999,-6999,-6999,27.671,-6999,-9999,389.963,2.9,-6999,-6999,-6999,-6999
2008,0,205.04167,205,100,0.125,25.78,-9999,-9999,1.067,0.984,0.083,3.609,-6999,46.596,-6999,7.45,-9999,5,-9999,10,0,92.58,101.801,383.661,0.25,90.717,-6999,-40.48,0,0,-6999,-6999,4.5,-6999,-6999,28.008,-6999,-9999,383.661,2.9,-6999,-6999,-6999,-6999
2008,0,205.0625,205,130,0.105,25.7,-9999,-9999,1.053,0.877,0.176,4.026,-6999,35.476,-6999,7.11,-9999,5,-9999,10,0,95.1,101.801,384.925,0.16,90.717,-6999,-44.14,0,0,-6999,-6999,4.54,-6999,-6999,28.638,-6999,-9999,384.925,2.9,-6999,-6999,-6999,-6999
