Date of data download: 2015-08-20

These data have been downloaded from the Everglades Depth Estimation Network (EDEN) database through the Explore and View EDEN (EVE) web application. The attached README file provides a brief description of the data. For additional info about EDEN: http://sofia.usgs.gov/eden

Date,CP Daily median water Level(feet NAVD88),CP Water level data type (O=observed; E=estimated; H=hindcasted; D=dry; M=missing),Water level quality flag (F=final; P=provisional; R=real-time)
2009-01-01,-0.3,O,F
2009-01-02,-0.32,O,F
2009-01-03,-0.32,O,F
2009-01-04,-0.33,O,F
2009-01-05,-0.34,O,F
2009-01-06,-0.34,O,F
2009-01-07,-0.35,O,F
2009-01-08,-0.35,O,F
2009-01-09,-0.36,O,F
2009-01-10,-0.37,O,F
2009-01-11,-0.38,O,F
2009-01-12,-0.39,O,F
2009-01-13,-0.39,O,F
2009-01-14,-0.4,O,F
2009-01-15,-0.41,O,F
2009-01-16,-0.42,O,F
2009-01-17,-0.43,O,F
2009-01-18,-0.45,O,F
2009-01-19,-0.45,O,F
2009-01-20,-0.46,O,F
2009-01-21,-0.46,O,F
2009-01-22,-0.48,O,F
2009-01-23,-0.49,O,F
2009-01-24,-0.5,O,F
2009-01-25,-0.5,O,F
2009-01-26,-0.51,O,F
2009-01-27,-0.52,O,F
2009-01-28,-0.53,O,F
2009-01-29,-0.54,O,F
2009-01-30,-0.54,O,F
2009-01-31,-0.55,O,F
2009-02-01,-0.57,O,F
2009-02-02,-0.57,O,F
2009-02-03,-0.55,O,F
2009-02-04,-0.55,O,F
2009-02-05,-0.55,O,F
2009-02-06,-0.56,O,F
2009-02-07,-0.57,O,F
2009-02-08,-0.57,O,F
2009-02-09,-0.58,O,F
2009-02-10,-0.59,O,F
2009-02-11,-0.61,O,F
2009-02-12,-0.61,O,F
2009-02-13,-0.62,O,F
2009-02-14,-0.63,O,F
2009-02-15,-0.64,O,F
2009-02-16,-0.64,O,F
2009-02-17,-0.66,O,F
2009-02-18,-0.67,O,F
2009-02-19,-0.68,O,F
2009-02-20,-0.69,O,F
2009-02-21,-0.71,O,F
2009-02-22,-0.72,O,F
2009-02-23,-0.73,O,F
2009-02-24,-0.74,O,F
2009-02-25,-0.75,O,F
2009-02-26,-0.76,O,F
2009-02-27,-0.77,O,F
2009-02-28,-0.79,O,F
2009-03-01,-0.8,O,F
2009-03-02,-0.81,O,F
2009-03-03,-0.82,O,F
2009-03-04,-0.84,O,F
2009-03-05,-0.85,O,F
2009-03-06,-0.87,O,F
2009-03-07,-0.88,O,F
2009-03-08,-0.9,O,F
2009-03-09,-0.91,O,F
2009-03-10,-0.92,O,F
2009-03-11,-0.94,O,F
2009-03-12,-0.96,O,F
2009-03-13,-0.97,O,F
2009-03-14,-0.98,O,F
2009-03-15,-1,O,F
2009-03-16,-1.02,O,F
2009-03-17,-1.03,O,F
2009-03-18,-1.03,O,F
2009-03-19,-1.01,O,F
2009-03-20,-1.01,O,F
2009-03-21,-0.99,O,F
2009-03-22,-0.98,O,F
2009-03-23,-0.98,O,F
2009-03-24,-0.99,O,F
2009-03-25,-1,O,F
2009-03-26,-1.02,O,F
2009-03-27,-1.04,O,F
2009-03-28,-1.06,O,F
2009-03-29,-1.07,O,F
2009-03-30,-1.08,O,F
2009-03-31,-1.09,O,F
2009-04-01,-1.11,O,F
2009-04-02,-1.12,O,F
2009-04-03,-1.14,O,F
2009-04-04,-1.16,O,F
2009-04-05,-1.18,O,F
2009-04-06,-1.2,O,F
2009-04-07,-1.23,O,F
2009-04-08,-1.25,O,F
2009-04-09,-1.27,O,F
2009-04-10,-1.29,O,F
2009-04-11,-1.3,O,F
2009-04-12,-1.32,O,F
2009-04-13,-1.34,O,F
2009-04-14,-1.37,O,F
2009-04-15,-1.4,O,F
2009-04-16,-1.43,O,F
2009-04-17,-1.47,O,F
2009-04-18,-1.52,O,F
2009-04-19,-1.56,O,F
2009-04-20,-1.58,O,F
2009-04-21,-1.6,D,F
2009-04-22,-1.62,D,F
2009-04-23,-1.66,D,F
2009-04-24,-1.71,D,F
2009-04-25,-1.76,D,F
2009-04-26,-1.79,D,F
2009-04-27,-1.82,D,F
2009-04-28,-1.85,D,F
2009-04-29,-1.86,D,F
2009-04-30,-1.88,D,F
2009-05-01,-1.89,D,F
2009-05-02,-1.9,D,F
2009-05-03,-1.91,D,F
2009-05-04,-1.92,D,F
2009-05-05,-1.93,D,F
2009-05-06,-1.94,D,F
2009-05-07,-1.95,D,F
2009-05-08,-1.95,D,F
2009-05-09,-1.96,D,F
2009-05-10,-1.96,D,F
2009-05-11,-1.97,D,F
2009-05-12,-1.98,D,F
2009-05-13,-1.98,D,F
2009-05-14,-1.99,D,F
2009-05-15,-1.99,D,F
2009-05-16,-1.99,D,F
2009-05-17,-1.99,D,F
2009-05-18,-1.99,D,F
2009-05-19,-1.94,D,F
2009-05-20,-1.94,D,F
2009-05-21,-1.94,D,F
2009-05-22,-1.87,D,F
2009-05-23,-1.87,D,F
2009-05-24,-1.87,D,F
2009-05-25,-1.86,D,F
2009-05-26,-1.87,D,F
2009-05-27,-1.87,D,F
2009-05-28,-1.85,D,F
2009-05-29,-1.85,D,F
2009-05-30,-1.85,D,F
2009-05-31,-1.26,O,F
2009-06-01,-1.08,O,F
2009-06-02,-0.99,O,F
2009-06-03,-0.88,O,F
2009-06-04,-0.78,O,F
2009-06-05,-0.36,O,F
2009-06-06,-0.31,O,F
2009-06-07,-0.22,O,F
2009-06-08,-0.2,O,F
2009-06-09,-0.17,O,F
2009-06-10,-0.08,O,F
2009-06-11,-0.08,O,F
2009-06-12,-0.04,O,F
2009-06-13,-0.04,O,F
2009-06-14,-0.05,O,F
2009-06-15,-0.03,O,F
2009-06-16,-0.01,O,F
2009-06-17,0.04,O,F
2009-06-18,0.06,O,F
2009-06-19,0.08,O,F
2009-06-20,0.1,O,F
2009-06-21,0.13,O,F
2009-06-22,0.14,O,F
2009-06-23,0.14,O,F
2009-06-24,0.18,O,F
2009-06-25,0.18,O,F
2009-06-26,0.17,O,F
2009-06-27,0.17,O,F
2009-06-28,0.18,O,F
2009-06-29,0.22,O,F
2009-06-30,0.22,O,F
2009-07-01,0.28,O,F
2009-07-02,0.29,O,F
2009-07-03,0.28,O,F
2009-07-04,0.27,O,F
2009-07-05,0.25,O,F
2009-07-06,0.24,O,F
2009-07-07,0.22,O,F
2009-07-08,0.2,O,F
2009-07-09,0.18,O,F
2009-07-10,0.15,O,F
2009-07-11,0.13,O,F
2009-07-12,0.11,O,F
2009-07-13,0.1,O,F
2009-07-14,0.14,O,F
2009-07-15,0.12,O,F
2009-07-16,0.1,O,F
2009-07-17,0.07,O,F
2009-07-18,0.04,O,F
2009-07-19,0.01,O,F
2009-07-20,0,O,F
2009-07-21,0.02,O,F
2009-07-22,0.07,O,F
2009-07-23,0.16,O,F
2009-07-24,0.16,O,F
2009-07-25,0.18,O,F
2009-07-26,0.18,O,F
2009-07-27,0.2,O,F
2009-07-28,0.23,O,F
2009-07-29,0.23,O,F
2009-07-30,0.21,O,F
2009-07-31,0.2,O,F
2009-08-01,0.18,O,F
2009-08-02,0.15,O,F
2009-08-03,0.14,O,F
2009-08-04,0.12,O,F
2009-08-05,0.08,O,F
2009-08-06,0.09,O,F
2009-08-07,0.09,O,F
2009-08-08,0.08,O,F
2009-08-09,0.07,O,F
2009-08-10,0.08,O,F
2009-08-11,0.08,O,F
2009-08-12,0.13,O,F
2009-08-13,0.12,O,F
2009-08-14,0.11,O,F
2009-08-15,0.1,O,F
2009-08-16,0.11,O,F
2009-08-17,0.1,O,F
2009-08-18,0.09,O,F
2009-08-19,0.13,O,F
2009-08-20,0.12,O,F
2009-08-21,0.11,O,F
2009-08-22,0.1,O,F
2009-08-23,0.09,O,F
2009-08-24,0.1,O,F
2009-08-25,0.11,O,F
2009-08-26,0.11,O,F
2009-08-27,0.11,O,F
2009-08-28,0.16,O,F
2009-08-29,0.16,O,F
2009-08-30,0.16,O,F
2009-08-31,0.16,O,F
2009-09-01,0.19,O,F
2009-09-02,0.26,O,F
2009-09-03,0.31,O,F
2009-09-04,0.33,O,F
2009-09-05,0.4,O,F
2009-09-06,0.44,O,F
2009-09-07,0.44,O,F
2009-09-08,0.44,O,F
2009-09-09,0.53,O,F
2009-09-10,0.59,O,F
2009-09-11,0.58,O,F
2009-09-12,0.56,O,F
2009-09-13,0.61,O,F
2009-09-14,0.65,O,F
2009-09-15,0.66,O,F
2009-09-16,0.7,O,F
2009-09-17,0.69,O,F
2009-09-18,0.67,O,F
2009-09-19,0.71,O,F
2009-09-20,0.73,O,F
2009-09-21,0.71,O,F
