Date of data download: 2015-12-24

These data have been downloaded from the Everglades Depth Estimation Network (EDEN) database through the Explore and View EDEN (EVE) web application. The attached README file provides a brief description of the data. For additional info about EDEN: http://sofia.usgs.gov/eden

Date,Harney_River Daily median water Level(feet NAVD88),Harney_River Water level data type (O=observed; E=estimated; H=hindcasted; D=dry; M=missing),Water level quality flag (F=final; P=provisional; R=real-time)
2009-01-01,-1.34,O,F
2009-01-02,-1.38,O,F
2009-01-03,-1.21,O,F
2009-01-04,-1.31,O,F
2009-01-05,-1.31,O,F
2009-01-06,-1.32,O,F
2009-01-07,-1.19,O,F
2009-01-08,-1.41,O,F
2009-01-09,-1.65,O,F
2009-01-10,-1.66,O,F
2009-01-11,-1.54,O,F
2009-01-12,-1.33,O,F
2009-01-13,-0.87,O,F
2009-01-14,-1.67,O,F
2009-01-15,-2.05,O,F
2009-01-16,-2.34,O,F
2009-01-17,-2.33,O,F
2009-01-18,-1.67,O,F
2009-01-19,-1.03,O,F
2009-01-20,-1.13,O,F
2009-01-21,-1.91,O,F
2009-01-22,-1.89,O,F
2009-01-23,-1.81,O,F
2009-01-24,-1.78,O,F
2009-01-25,-1.66,O,F
2009-01-26,-1.65,O,F
2009-01-27,-1.84,O,F
2009-01-28,-1.42,O,F
2009-01-29,-1.34,O,F
2009-01-30,-1.22,O,F
2009-01-31,-2.13,O,F
2009-02-01,-1.92,O,F
2009-02-02,-1.31,O,F
2009-02-03,-1.2,O,F
2009-02-04,-1.27,O,F
2009-02-05,-2.18,O,F
2009-02-06,-2.16,O,F
2009-02-07,-1.97,O,F
2009-02-08,-2,O,F
2009-02-09,-1.66,O,F
2009-02-10,-1.69,O,F
2009-02-11,-1.11,O,F
2009-02-12,-1.21,O,F
2009-02-13,-1.35,O,F
2009-02-14,-1.31,O,F
2009-02-15,-1.25,O,F
2009-02-16,-1.31,O,F
2009-02-17,-2.04,O,F
2009-02-18,-1.13,O,F
2009-02-19,-1.25,O,F
2009-02-20,-1.52,O,F
2009-02-21,-1.78,O,F
2009-02-22,-1.49,O,F
2009-02-23,-1.71,O,F
2009-02-24,-1.74,O,F
2009-02-25,-1.68,O,F
2009-02-26,-1.63,O,F
2009-02-27,-1.39,O,F
2009-02-28,-1.14,O,F
2009-03-01,-0.91,O,F
2009-03-02,-1.04,O,F
2009-03-03,-1.41,O,F
