This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"AGKO","AGENCY LAKE",-121.9825,42.5653,1265,"AGRIMET"
"ARAO","AURORA",-122.7503,45.2819,43,"AGRIMET"
"BANO","BANDON",-124.4172,43.0911,24,"AGRIMET"
"BATO","BEATTY",-121.2739,42.4781,1317,"AGRIMET"
"BEWO","BEND",-121.3203,44.0475,1113,"AGRIMET"
"BKVO","BAKER VALLEY",-117.9636,44.8819,1042,"AGRIMET"
"BNDW","BONNEVILLE D",-121.9311,45.6478,24,"AGRIMET"
"BRKO","BROOKINGS",-124.2408,42.0300,24,"AGRIMET"
"CEDC","CEDARVILLE",-120.1714,41.5853,1402,"AGRIMET"
"CHAW","CHAMOKANE",-117.7392,48.0314,594,"AGRIMET"
"CHVO","CHRISTMAS VA",-120.7281,43.2414,1329,"AGRIMET"
"CJDW","CHIEF JOSEPH",-119.6356,47.9908,302,"AGRIMET"
"CRVO","CORVALLIS",-123.1900,44.6342,70,"AGRIMET"
"DEFO","DEE FLAT",-121.6472,45.5736,384,"AGRIMET"
"DENI","DWORSHAK-DEN",-116.2206,46.6233,506,"AGRIMET"
"DTRO","DETROIT LAKE",-122.1792,44.7300,511,"AGRIMET"
"ECHO","ECHO",-119.3500,45.7111,232,"AGRIMET"
"EURN","EUREKA",-115.9786,39.6853,1797,"AGRIMET"
"FALN","FALLON",-118.7769,39.4581,1209,"AGRIMET"
"FOGO","FOREST GROVE",-123.0836,45.5531,55,"AGRIMET"
"GCDW","GRAND COULEE",-118.9536,47.9453,402,"AGRIMET"
"GERW","GEORGE",-119.6422,47.0439,351,"AGRIMET"
"GOLW","GOLDENDALE",-120.8244,45.8119,512,"AGRIMET"
"HERO","HERMISTON",-119.5122,45.8211,168,"AGRIMET"
"HOXO","HOOD RIVER",-121.5181,45.6844,155,"AGRIMET"
"HRFO","HEREFORD",-118.0200,44.4881,1097,"AGRIMET"
"HRHW","HARRAH",-120.5744,46.3847,259,"AGRIMET"
"HRMO","HERMISTON (H",-119.2833,45.8194,185,"AGRIMET"
"IMBO","IMBLER",-117.9667,45.4333,838,"AGRIMET"
"KFLO","KLAMATH FALL",-121.7550,42.1647,1250,"AGRIMET"
"KFLW","KETTLE FALLS",-118.1242,48.5950,408,"AGRIMET"
"LAKO","LAKEVIEW",-120.5231,42.1222,1454,"AGRIMET"
"LBRW","LAKE BRYAN-R",-117.6542,46.6975,192,"AGRIMET"
"LEGW","LEGROW",-118.9361,46.2053,177,"AGRIMET"
"LIDW","LIND",-118.7394,46.8672,450,"AGRIMET"
"LORO","LORELLA",-121.2242,42.0778,1268,"AGRIMET"
"MASW","MANSON",-120.1244,47.9169,601,"AGRIMET"
"MDFO","MEDFORD",-122.9378,42.3311,408,"AGRIMET"
"MRSO","MADRAS",-121.1486,44.6800,744,"AGRIMET"
"ODSW","ODESSA",-118.8786,47.3089,503,"AGRIMET"
"OMAW","OMAK",-119.5761,48.4025,376,"AGRIMET"
"PARO","PARKDALE",-121.6167,45.5444,451,"AGRIMET"
"PCYO","PRAIRIE CITY",-118.6278,44.4408,1144,"AGRIMET"
"PNGO","PINEGROVE",-121.5056,45.6500,189,"AGRIMET"
"POBO","POWELL BUTTE",-120.9497,44.2483,975,"AGRIMET"
"RTHI","RATHDRUM PRA",-116.8414,47.7956,698,"AGRIMET"
"SBMW","SEVEN BAYS M",-118.3411,47.8553,418,"AGRIMET"
"SILW","SILCOTT ISLA",-117.1847,46.4186,251,"AGRIMET"
"WRDO","WORDEN",-121.7869,42.0169,1244,"AGRIMET"
"K04W","FIELD OF DRE",-92.8953,46.0228,311,"ASOS"
"K06D","ROLLA MUNICI",-99.6208,48.8844,556,"ASOS"
"K0A9","ELIZABETHTON",-82.1733,36.3711,486,"ASOS"
"K0E0","MORIARTY AIR",-106.0050,34.9822,1889,"ASOS"
"K0F2","BOWIE MUNICI",-97.7756,33.6017,336,"ASOS"
"K0J4","FLORALA MUNI",-86.3117,31.0425,96,"ASOS"
"K0R3","ABBEVILLE CH",-92.0842,29.9758,5,"ASOS"
"K0VG","LEE COUNTY A",-83.2178,36.6542,430,"ASOS"
"K11R","BRENHAM_MUNI",-96.3742,30.2189,94,"ASOS"
"K12N","ANDOVER/AERO",-74.7367,41.0089,177,"ASOS"
"K14Y","TODD FIELD A",-94.8739,45.8983,406,"ASOS"
"K1A5","MACON COUNTY",-83.4192,35.2225,616,"ASOS"
"K1A6","MIDDLESBORO-",-83.7375,36.6106,352,"ASOS"
"K1F0","ARDMORE DOWN",-97.1225,34.1469,257,"ASOS"
"K1H2","EFFINGHAM",-88.5333,39.0706,179,"ASOS"
"K1M4","POSEY FIELD",-87.6006,34.2803,283,"ASOS"
"K1P1","PLYMOUTH MUN",-71.7536,43.7792,154,"ASOS"
"K1V4","ST. JOHNSBUR",-72.0194,44.4194,212,"ASOS"
"K20U","BEACH AIRPOR",-103.9819,46.9253,840,"ASOS"
"K20V","MC ELROY AIR",-106.3689,40.0536,2259,"ASOS"
"K21D","LAKE ELMO AI",-92.8556,44.9975,284,"ASOS"
"K29G","PORTAGE COUN",-81.2517,41.2103,365,"ASOS"
"K2C8","CAVALIER MUN",-97.6319,48.7836,272,"ASOS"
"K2G4","GARRETT COUN",-79.3394,39.5803,894,"ASOS"
"K2W6","ST. MARY'S C",-76.5500,38.3153,43,"ASOS"
"K2WX","BUFFALO (AMO",-103.5464,45.6044,915,"ASOS"
"K36U","HEBER, HEBER",-111.4289,40.4819,1718,"ASOS"
"K3A1","FOLSOM FIELD",-86.8583,34.2689,294,"ASOS"
"K3I2","MASON COUNTY",-82.0986,38.9147,196,"ASOS"
"K3J7","GREENE COUNT",-83.1389,33.5978,206,"ASOS"
"K3LF","LITCHFIELD M",-89.6747,39.1625,210,"ASOS"
"K3T5","LA GRANGE/FA",-96.9500,29.9081,99,"ASOS"
"K40B","CLAYTON LAKE",-69.5300,46.6200,314,"ASOS"
"K40J","PERRY-FOLEY",-83.5736,30.0719,13,"ASOS"
"K47A","CHEROKEE COU",-84.4239,34.3106,372,"ASOS"
"K4A6","SCOTTSBORO M",-86.0058,34.6886,198,"ASOS"
"K4A9","ISBELL FIELD",-85.7214,34.4736,267,"ASOS"
"K4BM","WILKERSON PA",-105.5167,39.0500,3438,"ASOS"
"K4I3","KNOX COUNTY",-82.5261,40.3289,363,"ASOS"
"K4M9","CORNING MUNI",-90.6481,36.4042,89,"ASOS"
"K4O4","MCCURTAIN CO",-94.8594,33.9094,144,"ASOS"
"K4R4","H L SONNY CA",-87.8769,30.4606,28,"ASOS"
