LTER_Site,Station,Date,Daily_AirTemp_Mean_C,Flag_Daily_AirTemp_Mean_C,Daily_AirTemp_AbsMax_C,Flag_Daily_AirTemp_AbsMax_C,Daily_AirTemp_AbsMin_C,Flag_Daily_AirTemp_AbsMin_C,Daily_Precip_Total_mm,Flag_Daily_Precip_Total_mm
FCE,Everglades,19240201,24,,27,,22,,3.6,
FCE,Everglades,19240202,17,,22,,13,,0,
FCE,Everglades,19240203,13,,21,,6,,0,
FCE,Everglades,19240204,18,,23,,12,,0,
FCE,Everglades,19240205,22,,26,,19,,0,
FCE,Everglades,19240206,19,,23,,14,,0,
FCE,Everglades,19240207,17,,20,,14,,0,
FCE,Everglades,19240208,14,,22,,6,,0,
FCE,Everglades,19240209,15,,23,,7,,0,
FCE,Everglades,19240210,15,,24,,5,,0,
FCE,Everglades,19240211,17,,24,,9,,0,
FCE,Everglades,19240212,17,,24,,9,,0,
FCE,Everglades,19240213,14,,23,,6,,0,
FCE,Everglades,19240214,15,,24,,6,,0,
FCE,Everglades,19240215,16,,26,,6,,0,
FCE,Everglades,19240216,21,,27,,14,,0,
FCE,Everglades,19240217,19,,28,,11,,0,
FCE,Everglades,19240218,22,,27,,17,,6.1,
FCE,Everglades,19240219,19,,27,,11,,0,
FCE,Everglades,19240220,16,,23,,8,,0,
FCE,Everglades,19240221,18,,23,,13,,0,
FCE,Everglades,19240222,17,,24,,10,,0,
FCE,Everglades,19240223,19,,26,,12,,0,
FCE,Everglades,19240224,19,,26,,13,,0,
FCE,Everglades,19240225,20,,27,,14,,0,
FCE,Everglades,19240226,20,,27,,13,,5.6,
FCE,Everglades,19240227,20,,22,,18,,0,
FCE,Everglades,19240228,18,,21,,14,,0,
FCE,Everglades,19240229,14,,22,,7,,0,
FCE,Everglades,19240301,16,,23,,9,,0,
FCE,Everglades,19240302,19,,24,,13,,0,
FCE,Everglades,19240303,-9999,M,-9999,M,-9999,M,0,
FCE,Everglades,19240304,16,,25,,8,,0,
FCE,Everglades,19240305,16,,26,,7,,0,
FCE,Everglades,19240306,22,,26,,19,,0,
FCE,Everglades,19240307,23,,27,,19,,0,
FCE,Everglades,19240308,20,,25,,14,,0,
FCE,Everglades,19240309,20,,25,,14,,0,
FCE,Everglades,19240310,20,,25,,14,,0,
FCE,Everglades,19240311,17,,22,,11,,0,
FCE,Everglades,19240312,13,,20,,6,,0,
FCE,Everglades,19240313,12,,19,,5,,0,
FCE,Everglades,19240314,14,,22,,6,,6.1,
FCE,Everglades,19240315,13,,20,,6,,0,
