LTER_Site,Station,Date,Daily_AirTemp_Mean_C,Flag_Daily_AirTemp_Mean_C,Daily_AirTemp_AbsMax_C,Flag_Daily_AirTemp_AbsMax_C,Daily_AirTemp_AbsMin_C,Flag_Daily_AirTemp_AbsMin_C,Daily_Precip_Total_mm,Flag_Daily_Precip_Total_mm
FCE,MIA,19480101,24,,27,,21,,0,
FCE,MIA,19480102,24,,27,,21,,3.6,
FCE,MIA,19480103,19,,22,,16,,0,
FCE,MIA,19480104,18,,22,,14,,0,
FCE,MIA,19480105,14,,19,,9,,0,
FCE,MIA,19480106,15,,21,,10,,0,
FCE,MIA,19480107,17,,23,,11,,0,
FCE,MIA,19480108,19,,24,,13,,0,
FCE,MIA,19480109,19,,26,,12,,0,
FCE,MIA,19480110,19,,24,,14,,0,
FCE,MIA,19480111,19,,22,,16,,29.7,
FCE,MIA,19480112,21,,24,,18,,5.8,
FCE,MIA,19480113,23,,26,,20,,39.9,
FCE,MIA,19480114,13,,20,,6,,0,
FCE,MIA,19480115,6,,11,,1,,0,
FCE,MIA,19480116,13,,21,,6,,0,
FCE,MIA,19480117,21,,24,,17,,3.8,
FCE,MIA,19480118,16,,21,,12,,0,
FCE,MIA,19480119,18,,25,,12,,0,
FCE,MIA,19480120,23,,26,,21,,0.3,
FCE,MIA,19480121,23,,26,,19,,3.3,
FCE,MIA,19480122,18,,22,,14,,0,
FCE,MIA,19480123,19,,23,,16,,10.4,
FCE,MIA,19480124,23,,28,,19,,0,
FCE,MIA,19480125,23,,28,,17,,0,
FCE,MIA,19480126,22,,27,,17,,0,
FCE,MIA,19480127,23,,27,,19,,0,
FCE,MIA,19480128,22,,27,,18,,0,
FCE,MIA,19480129,22,,27,,16,,0,
FCE,MIA,19480130,23,,27,,18,,2,
FCE,MIA,19480131,23,,28,,18,,0,
FCE,MIA,19480201,15,,20,,10,,0,
FCE,MIA,19480202,16,,23,,9,,0,
FCE,MIA,19480203,18,,22,,13,,0,
FCE,MIA,19480204,21,,26,,16,,0,
FCE,MIA,19480205,20,,27,,13,,0,
FCE,MIA,19480206,21,,28,,14,,0,
FCE,MIA,19480207,22,,27,,16,,0,
FCE,MIA,19480208,23,,28,,18,,0,
FCE,MIA,19480209,24,,29,,18,,0,
FCE,MIA,19480210,23,,26,,19,,0.5,
FCE,MIA,19480211,24,,27,,21,,0,
FCE,MIA,19480212,26,,28,,23,,0,
FCE,MIA,19480213,26,,28,,23,,0,
FCE,MIA,19480214,26,,32,,20,,0,
FCE,MIA,19480215,20,,23,,18,,18.3,
FCE,MIA,19480216,24,,27,,21,,0.3,
FCE,MIA,19480217,24,,29,,19,,0,
FCE,MIA,19480218,22,,26,,17,,0,
FCE,MIA,19480219,21,,26,,16,,0,
