LTER_Site,Station,Date,Daily_AirTemp_Mean_C,Flag_Daily_AirTemp_Mean_C,Daily_AirTemp_AbsMax_C,Flag_Daily_AirTemp_AbsMax_C,Daily_AirTemp_AbsMin_C,Flag_Daily_AirTemp_AbsMin_C,Daily_Precip_Total_mm,Flag_Daily_Precip_Total_mm
FCE,RoyalPalmR,19490501,24,,32,,16,,2,
FCE,RoyalPalmR,19490502,24,,30,,18,,0,
FCE,RoyalPalmR,19490503,25,,32,,19,,1.8,
FCE,RoyalPalmR,19490504,21,,25,,17,,20.3,
FCE,RoyalPalmR,19490505,22,,25,,19,,41.4,
FCE,RoyalPalmR,19490506,23,,31,,15,,8.4,
FCE,RoyalPalmR,19490507,23,,31,,15,,7.6,
FCE,RoyalPalmR,19490508,24,,32,,16,,1.3,
FCE,RoyalPalmR,19490509,25,,32,,18,,32.3,
FCE,RoyalPalmR,19490510,24,,31,,17,,58.9,
FCE,RoyalPalmR,19490511,24,,32,,17,,0,
FCE,RoyalPalmR,19490512,25,,32,,18,,12.7,
FCE,RoyalPalmR,19490513,24,,31,,18,,23.1,
FCE,RoyalPalmR,19490514,24,,31,,17,,0.5,
FCE,RoyalPalmR,19490515,24,,31,,16,,0,
FCE,RoyalPalmR,19490516,25,,31,,18,,0,
FCE,RoyalPalmR,19490517,25,,31,,18,,1.5,
FCE,RoyalPalmR,19490518,25,,31,,19,,0.3,
FCE,RoyalPalmR,19490519,25,,31,,20,,0,
FCE,RoyalPalmR,19490520,23,,31,,16,,0,
FCE,RoyalPalmR,19490521,24,,32,,16,,0,
FCE,RoyalPalmR,19490522,24,,32,,16,,0,
FCE,RoyalPalmR,19490523,23,,31,,16,,0,
FCE,RoyalPalmR,19490524,26,,34,,17,,0,
FCE,RoyalPalmR,19490525,26,,35,,18,,0,
FCE,RoyalPalmR,19490526,25,,33,,17,,0,
FCE,RoyalPalmR,19490527,26,,34,,18,,0,
FCE,RoyalPalmR,19490528,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19490529,26,,34,,18,,0,
FCE,RoyalPalmR,19490530,-9999,M,-9999,M,-9999,M,2.5,
FCE,RoyalPalmR,19490531,26,,33,,18,,12.2,
FCE,RoyalPalmR,19490601,25,,32,,18,,5.8,
FCE,RoyalPalmR,19490602,25,,31,,19,,9.7,
FCE,RoyalPalmR,19490603,26,,33,,19,,0.8,
FCE,RoyalPalmR,19490604,25,,31,,19,,24.1,
FCE,RoyalPalmR,19490605,25,,33,,16,,0,
FCE,RoyalPalmR,19490606,25,,33,,17,,0,
FCE,RoyalPalmR,19490607,25,,33,,17,,0,
FCE,RoyalPalmR,19490608,25,,30,,21,,2.8,
FCE,RoyalPalmR,19490609,26,,33,,19,,0.5,
FCE,RoyalPalmR,19490610,24,,27,,21,,4.1,
FCE,RoyalPalmR,19490611,24,,28,,21,,24.1,
FCE,RoyalPalmR,19490612,25,,31,,19,,71.1,
FCE,RoyalPalmR,19490613,25,,30,,20,,21.8,
FCE,RoyalPalmR,19490614,27,,33,,21,,0.5,
FCE,RoyalPalmR,19490615,26,,32,,21,,6.4,
FCE,RoyalPalmR,19490616,28,,32,,23,,0.5,
FCE,RoyalPalmR,19490617,27,,31,,22,,5.6,
FCE,RoyalPalmR,19490618,27,,32,,22,,0.5,
FCE,RoyalPalmR,19490619,27,,32,,22,,0,
FCE,RoyalPalmR,19490620,27,,32,,22,,0,
FCE,RoyalPalmR,19490621,28,,33,,23,,0,
FCE,RoyalPalmR,19490622,28,,32,,23,,0,
FCE,RoyalPalmR,19490623,27,,32,,21,,14.7,
FCE,RoyalPalmR,19490624,28,,32,,23,,0,
FCE,RoyalPalmR,19490625,27,,32,,22,,0,
FCE,RoyalPalmR,19490626,28,,33,,23,,0,
FCE,RoyalPalmR,19490627,28,,33,,22,,0,
FCE,RoyalPalmR,19490628,28,,34,,22,,0,
FCE,RoyalPalmR,19490629,28,,34,,22,,2.3,
FCE,RoyalPalmR,19490630,28,,34,,22,,0,
FCE,RoyalPalmR,19490701,28,,33,,22,,0,
FCE,RoyalPalmR,19490702,28,,33,,23,,0,
FCE,RoyalPalmR,19490703,28,,34,,22,,19.8,
FCE,RoyalPalmR,19490704,28,,34,,23,,48.5,
FCE,RoyalPalmR,19490705,28,,34,,22,,0,
FCE,RoyalPalmR,19490706,27,,33,,22,,0,
FCE,RoyalPalmR,19490707,28,,33,,23,,0,
FCE,RoyalPalmR,19490708,28,,33,,23,,1,
FCE,RoyalPalmR,19490709,29,,34,,23,,0,
FCE,RoyalPalmR,19490710,28,,33,,22,,0.3,
FCE,RoyalPalmR,19490711,28,,33,,23,,0,
FCE,RoyalPalmR,19490712,27,,32,,22,,5.8,
FCE,RoyalPalmR,19490713,28,,33,,22,,0,
FCE,RoyalPalmR,19490714,28,,34,,22,,0,
FCE,RoyalPalmR,19490715,28,,33,,23,,5.3,
FCE,RoyalPalmR,19490716,26,,30,,23,,9.4,
FCE,RoyalPalmR,19490717,26,,32,,21,,3.8,
FCE,RoyalPalmR,19490718,27,,32,,22,,35.6,
FCE,RoyalPalmR,19490719,26,,32,,21,,22.9,
FCE,RoyalPalmR,19490720,26,,31,,21,,5.6,
FCE,RoyalPalmR,19490721,27,,32,,22,,0,
FCE,RoyalPalmR,19490722,29,,34,,23,,0,
FCE,RoyalPalmR,19490723,26,,29,,23,,8.1,
FCE,RoyalPalmR,19490724,28,,33,,23,,0,
FCE,RoyalPalmR,19490725,28,,32,,23,,0,
FCE,RoyalPalmR,19490726,26,,29,,22,,12.7,
FCE,RoyalPalmR,19490727,28,,33,,22,,0,
FCE,RoyalPalmR,19490728,28,,34,,23,,0,
FCE,RoyalPalmR,19490729,28,,34,,22,,21.8,
FCE,RoyalPalmR,19490730,27,,32,,22,,26.4,
FCE,RoyalPalmR,19490731,26,,32,,21,,1,
FCE,RoyalPalmR,19490801,27,,32,,22,,0.5,
FCE,RoyalPalmR,19490802,27,,32,,22,,0,
FCE,RoyalPalmR,19490803,27,,34,,21,,0,
FCE,RoyalPalmR,19490804,27,,31,,23,,2.3,
FCE,RoyalPalmR,19490805,28,,34,,23,,0,
FCE,RoyalPalmR,19490806,-9999,M,-9999,M,-9999,M,3.3,
FCE,RoyalPalmR,19490807,27,,32,,22,,0,
FCE,RoyalPalmR,19490808,27,,32,,22,,0,
FCE,RoyalPalmR,19490809,28,,33,,22,,5.6,
FCE,RoyalPalmR,19490810,26,,30,,22,,22.6,
FCE,RoyalPalmR,19490811,28,,33,,22,,0,
FCE,RoyalPalmR,19490812,28,,33,,22,,0,
FCE,RoyalPalmR,19490813,28,,33,,22,,0,
FCE,RoyalPalmR,19490814,28,,33,,23,,0,
FCE,RoyalPalmR,19490815,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19490816,28,,33,,23,,0,
FCE,RoyalPalmR,19490817,28,,34,,22,,0,
FCE,RoyalPalmR,19490818,27,,33,,21,,20.3,
FCE,RoyalPalmR,19490819,26,,31,,22,,46,
FCE,RoyalPalmR,19490820,-9999,M,-9999,M,-9999,M,28.7,
FCE,RoyalPalmR,19490821,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19490822,27,,34,,21,,1,
FCE,RoyalPalmR,19490823,28,,34,,22,,2.5,
FCE,RoyalPalmR,19490824,-9999,M,-9999,M,-9999,M,2.3,
FCE,RoyalPalmR,19490825,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19490826,28,,32,,23,,20.3,
FCE,RoyalPalmR,19490827,-9999,M,-9999,M,-9999,M,9.7,
FCE,RoyalPalmR,19490828,28,,32,,24,,0,
FCE,RoyalPalmR,19490829,28,,33,,23,,0,
FCE,RoyalPalmR,19490830,28,,33,,23,,0,
FCE,RoyalPalmR,19490831,28,,33,,23,,0,
FCE,RoyalPalmR,19490901,27,,32,,22,,4.6,
FCE,RoyalPalmR,19490902,26,,31,,21,,13.2,
FCE,RoyalPalmR,19490903,28,,32,,23,,0,
FCE,RoyalPalmR,19490904,28,,33,,22,,3,
FCE,RoyalPalmR,19490905,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19490906,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19490907,27,,34,,20,,4.6,
FCE,RoyalPalmR,19490908,29,,34,,23,,2.5,
FCE,RoyalPalmR,19490909,28,,34,,22,,0,
FCE,RoyalPalmR,19490910,28,,32,,23,,0,
FCE,RoyalPalmR,19490911,26,,31,,22,,13.5,
FCE,RoyalPalmR,19490912,27,,32,,22,,0.8,
FCE,RoyalPalmR,19490913,27,,32,,21,,37.8,
FCE,RoyalPalmR,19490914,28,,33,,22,,0.5,
FCE,RoyalPalmR,19490915,28,,33,,22,,0.3,
FCE,RoyalPalmR,19490916,28,,34,,22,,0,
FCE,RoyalPalmR,19490917,28,,33,,22,,0,
FCE,RoyalPalmR,19490918,28,,33,,22,,10.2,
FCE,RoyalPalmR,19490919,27,,31,,23,,0,
FCE,RoyalPalmR,19490920,28,,33,,22,,0,
FCE,RoyalPalmR,19490921,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19490922,27,,33,,22,,0,
FCE,RoyalPalmR,19490923,28,,33,,22,,0,
FCE,RoyalPalmR,19490924,27,,32,,23,,0.5,
FCE,RoyalPalmR,19490925,27,,32,,22,,5.6,
FCE,RoyalPalmR,19490926,27,,32,,21,,10.7,
FCE,RoyalPalmR,19490927,28,,34,,22,,0,
FCE,RoyalPalmR,19490928,27,,32,,22,,0,
FCE,RoyalPalmR,19490929,24,,29,,20,,102.1,
FCE,RoyalPalmR,19490930,27,,33,,21,,25.9,
FCE,RoyalPalmR,19491001,28,,33,,23,,0.5,
FCE,RoyalPalmR,19491002,28,,32,,23,,1,
FCE,RoyalPalmR,19491003,27,,32,,22,,13.2,
FCE,RoyalPalmR,19491004,27,,32,,22,,1,
FCE,RoyalPalmR,19491005,-9999,M,-9999,M,-9999,M,23.9,
FCE,RoyalPalmR,19491006,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19491007,26,,32,,21,,14.7,
FCE,RoyalPalmR,19491008,27,,33,,21,,0,
FCE,RoyalPalmR,19491009,26,,31,,22,,4.6,
FCE,RoyalPalmR,19491010,27,,32,,21,,1,
FCE,RoyalPalmR,19491011,26,,30,,22,,15,
FCE,RoyalPalmR,19491012,24,,28,,21,,0,
FCE,RoyalPalmR,19491013,26,,29,,22,,40.6,
FCE,RoyalPalmR,19491014,26,,32,,21,,0,
FCE,RoyalPalmR,19491015,26,,31,,21,,0,
FCE,RoyalPalmR,19491016,26,,32,,21,,0,
FCE,RoyalPalmR,19491017,26,,32,,21,,0,
FCE,RoyalPalmR,19491018,27,,32,,22,,0,
FCE,RoyalPalmR,19491019,26,,32,,21,,0,
FCE,RoyalPalmR,19491020,24,,29,,19,,0,
FCE,RoyalPalmR,19491021,25,,31,,20,,0,
FCE,RoyalPalmR,19491022,25,,31,,19,,0,
FCE,RoyalPalmR,19491023,25,,31,,19,,0,
FCE,RoyalPalmR,19491024,24,,31,,18,,0,
FCE,RoyalPalmR,19491025,24,,28,,19,,-9999,M
FCE,RoyalPalmR,19491026,25,,29,,21,,-9999,M
FCE,RoyalPalmR,19491028,27,,32,,21,,0,
FCE,RoyalPalmR,19491029,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19491030,27,,32,,22,,0,
FCE,RoyalPalmR,19491031,27,,32,,22,,10.7,
FCE,RoyalPalmR,19491101,24,,27,,22,,1,
FCE,RoyalPalmR,19491102,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19491103,19,,22,,17,,0.3,
FCE,RoyalPalmR,19491104,20,,26,,14,,0,
FCE,RoyalPalmR,19491105,20,,26,,14,,0,
FCE,RoyalPalmR,19491106,20,,27,,13,,0.8,
FCE,RoyalPalmR,19491107,20,,28,,12,,0.5,
FCE,RoyalPalmR,19491108,23,,28,,17,,0.5,
FCE,RoyalPalmR,19491109,24,,29,,19,,3.3,
FCE,RoyalPalmR,19491110,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19491111,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19491112,19,,-9999,M,19,,0,
FCE,RoyalPalmR,19491113,22,,26,,19,,0,
FCE,RoyalPalmR,19491114,25,,29,,20,,98.6,
FCE,RoyalPalmR,19491115,25,,31,,19,,77.2,
FCE,RoyalPalmR,19491116,22,,27,,17,,0,
FCE,RoyalPalmR,19491117,18,,24,,12,,0,
FCE,RoyalPalmR,19491118,16,,21,,11,,0,
FCE,RoyalPalmR,19491119,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19491120,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19491121,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19491122,18,,27,,10,,0,
FCE,RoyalPalmR,19491123,19,,26,,12,,0,
FCE,RoyalPalmR,19491124,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19491125,20,,28,,12,,0,
FCE,RoyalPalmR,19491126,-9999,M,-9999,M,-9999,M,0,
FCE,RoyalPalmR,19491127,13,,26,,-1,,0,
FCE,RoyalPalmR,19491128,16,,27,,5,,0,
FCE,RoyalPalmR,19491129,19,,29,,9,,0,
FCE,RoyalPalmR,19491130,21,,28,,15,,0,
FCE,RoyalPalmR,19491201,19,,26,,11,,0,
FCE,RoyalPalmR,19491202,19,,27,,11,,0,
FCE,RoyalPalmR,19491203,19,,27,,12,,0,
FCE,RoyalPalmR,19491204,20,,27,,13,,0,
FCE,RoyalPalmR,19491205,19,,26,,12,,0,
FCE,RoyalPalmR,19491206,20,,28,,12,,0,
FCE,RoyalPalmR,19491207,19,,26,,12,,0,
FCE,RoyalPalmR,19491208,21,,28,,14,,1.5,
